//X,Y,Z,R,G,B,object_tag,object_id,spot,Original cloud index
17,-14,0,245,121,0,25,0,0,0
17,-15,0,245,121,0,25,0,0,0
17,-15,0,245,121,0,25,0,0,0
17,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
16,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
15,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
14,-15,0,245,121,0,25,0,0,0
13,-15,0,245,121,0,25,0,0,0
13,-15,0,245,121,0,25,0,0,0
13,-15,0,245,121,0,25,0,0,0
13,-15,0,245,121,0,25,0,0,0
13,-15,0,245,121,0,25,0,0,0
13,-15,0,245,121,0,25,0,0,0
12,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-16,0,245,121,0,25,0,0,0
9,-17,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-17,0,245,121,0,25,0,0,0
16,-17,0,245,121,0,25,0,0,0
16,-17,0,245,121,0,25,0,0,0
16,-17,0,245,121,0,25,0,0,0
16,-17,0,245,121,0,25,0,0,0
16,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
15,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
14,-17,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
17,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
16,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
15,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
14,-16,0,245,121,0,25,0,0,0
